,sample,annotation
3848,броколт,"[(0, 7, 'B-TYPE')]"
15482,пайонез,"[(0, 7, 'B-TYPE')]"
3740,ботинок,"[(0, 7, 'B-TYPE')]"
13797,мультиварка pione,"[(0, 11, 'B-TYPE'), (12, 17, 'B-BRAND')]"
4182,бургер,"[(0, 7, 'B-TYPE')]"
25324,хсосиски,"[(0, 8, 'B-TYPE')]"
23685,торт птичка,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
19245,салфетка влажный хозяйственный,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE'), (17, 30, 'I-TYPE')]"
21212,сосис 4 и,"[(0, 7, 'B-TYPE')]"
26905,яблоко сезонный,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
10819,кружка кубань фарфор,"[(0, 6, 'B-TYPE'), (7, 19, 'B-BRAND')]"
17486,приосколье кури,"[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE')]"
13207,молоко отборный,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
16533,пир ого,"[(0, 6, 'B-TYPE')]"
23937,тряпочка для стол,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 18, 'O')]"
23176,творожный крем,"[(0, 9, 'B-TYPE'), (10, 14, 'I-TYPE')]"
1572,muscl,"[(0, 5, 'B-TYPE')]"
8354,капуччино,"[(0, 9, 'B-TYPE')]"
19617,свинона,"[(0, 7, 'B-TYPE')]"
4219,быстродействующие,"[(0, 17, 'B-TYPE')]"
24045,тушеенка,"[(0, 8, 'B-TYPE')]"
25333,ххалва,"[(0, 6, 'B-TYPE')]"
10781,круассан пек,"[(0, 8, 'B-TYPE'), (9, 13, 'B-BRAND')]"
411,cesar,"[(0, 5, 'B-BRAND')]"
820,fito хн,"[(0, 4, 'B-BRAND'), (5, 7, 'B-TYPE')]"
25211,хлор,"[(0, 4, 'B-TYPE')]"
5090,водв святой источник,"[(0, 4, 'B-TYPE'), (5, 11, 'O'), (12, 20, 'O')]"
621,dolce,"[(0, 5, 'B-BRAND')]"
744,everest,"[(0, 7, 'B-BRAND')]"
3080,банк,"[(0, 5, 'B-TYPE')]"
23986,туалетный бумага,"[(0, 9, 'B-TYPE'), (10, 16, 'I-TYPE')]"
6483,детско,"[(0, 6, 'B-TYPE')]"
25444,цыкорий,"[(0, 7, 'B-TYPE')]"
10017,корм для кошка красный цена,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 22, 'B-BRAND'), (23, 27, 'I-BRAND')]"
9796,кон фил торт,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]"
3288,бездрожжевая,"[(0, 12, 'B-TYPE')]"
13267,молочка,"[(0, 7, 'B-TYPE')]"
19066,саеокс,"[(0, 6, 'B-TYPE')]"
11230,кут абе,"[(0, 6, 'B-TYPE')]"
15080,оливка botanic,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
2165,toff,"[(0, 4, 'B-BRAND')]"
23382,тесто слоёный д,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE'), (14, 15, 'O')]"
18530,рис в пакета ках,"[(0, 3, 'B-TYPE'), (4, 5, 'O'), (6, 15, 'O')]"
1584,natu,"[(0, 4, 'B-BRAND')]"
12339,маркет фасо,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]"
13566,мороженье,"[(0, 9, 'B-TYPE')]"
14446,новгородхлеб например,"[(0, 12, 'B-BRAND'), (13, 21, 'O')]"
3138,батарейка филипс,"[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]"
8184,кальма,"[(0, 6, 'B-TYPE')]"
6628,добрый сок яблоко,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE'), (11, 17, 'B-TYPE')]"
9402,колбасаэ,"[(0, 8, 'B-TYPE')]"
15683,парфэ дрожж,"[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]"
22756,сырцее,"[(0, 6, 'B-TYPE')]"
17318,попкорн приправа,"[(0, 8, 'B-TYPE'), (9, 17, 'B-BRAND')]"
1287,lays,"[(0, 4, 'B-BRAND')]"
24003,тувлетная,"[(0, 9, 'B-TYPE')]"
9931,корзиноче,"[(0, 9, 'B-TYPE')]"
21140,соляека,"[(0, 7, 'B-TYPE')]"
5099,водка,"[(0, 5, 'B-TYPE')]"
7277,зарядный устройство,"[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]"
20933,сок добрый персик,"[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 17, 'O')]"
21235,сосиска же лен,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]"
14851,огурецы,"[(0, 7, 'B-TYPE')]"
26221,шащлык,"[(0, 6, 'B-TYPE')]"
21825,ст кан,"[(0, 5, 'B-TYPE')]"
10166,косметичка liberhau,"[(0, 10, 'B-TYPE'), (11, 19, 'B-BRAND')]"
22325,сыр копсная цена,"[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND'), (12, 16, 'I-BRAND')]"
22307,сыр для бут,"[(0, 3, 'B-TYPE'), (4, 7, 'O'), (8, 11, 'O')]"
2238,varta батарейка,"[(0, 5, 'B-BRAND'), (6, 15, 'B-TYPE')]"
4201,бутылочка,"[(0, 9, 'B-TYPE')]"
3847,броколл,"[(0, 7, 'B-TYPE')]"
8158,календарь миф,"[(0, 9, 'B-TYPE'), (10, 13, 'B-BRAND')]"
13028,мистраль кусковой,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]"
13415,морковка,"[(0, 8, 'B-TYPE')]"
3702,боль юн,"[(0, 6, 'B-TYPE')]"
6682,дра жж,"[(0, 5, 'B-TYPE')]"
2571,акту аль кто ни будь,"[(0, 7, 'B-BRAND'), (8, 18, 'O')]"
24195,укроп лук,"[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]"
20485,слойка с сосисеой,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 17, 'O')]"
1338,linmin,"[(0, 6, 'B-BRAND')]"
24513,филейна,"[(0, 7, 'B-TYPE')]"
14910,огурцы 2,"[(0, 7, 'B-TYPE')]"
13270,молочный дравниа,"[(0, 7, 'O'), (8, 15, 'O')]"
26449,шпина,"[(0, 5, 'B-TYPE')]"
26352,шоколадка,"[(0, 9, 'B-TYPE')]"
8607,картошфель,"[(0, 10, 'B-TYPE')]"
8451,кари,"[(0, 4, 'B-BRAND')]"
5955,гр бы,"[(0, 4, 'B-TYPE')]"
21970,суп,"[(0, 3, 'B-TYPE')]"
7136,завтрак вастэ,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
4772,вина виноградный,"[(0, 4, 'B-TYPE'), (5, 16, 'I-TYPE')]"
13620,морс 4 ач,"[(0, 7, 'B-TYPE')]"
1807,podravka маринов анны,"[(0, 8, 'B-BRAND'), (9, 20, 'B-TYPE')]"
12599,маслосл,"[(0, 7, 'B-TYPE')]"
14504,носок,"[(0, 5, 'B-TYPE')]"
6352,дам пл,"[(0, 5, 'B-TYPE')]"
15597,пан гас,"[(0, 6, 'B-TYPE')]"
8765,каша фру то няня,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]"
14383,нектар добрый мульти,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 20, 'I-BRAND')]"
15570,паме,"[(0, 4, 'B-TYPE')]"
25029,хлеб с чес,"[(0, 4, 'B-TYPE'), (5, 6, 'O'), (7, 10, 'O')]"
10608,крем,"[(0, 5, 'B-TYPE')]"
26880,яблака,"[(0, 6, 'B-TYPE')]"
24012,тульский,"[(0, 8, 'B-BRAND')]"
24073,тушонная,"[(0, 8, 'B-TYPE')]"
23606,тонкий лаваш,"[(0, 6, 'B-TYPE'), (7, 12, 'I-TYPE')]"
16596,пирозжные,"[(0, 9, 'B-TYPE')]"
5116,водопосли,"[(0, 9, 'B-TYPE')]"
8768,кашка безмолочн,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
344,brayer кофеварок,"[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]"
456,chocozavr,"[(0, 9, 'B-BRAND')]"
13672,моцарелла ум ал,"[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]"
12986,минтая,"[(0, 6, 'B-TYPE')]"
3494,биолак,"[(0, 6, 'B-BRAND')]"
18080,пшённый,"[(0, 6, 'B-TYPE')]"
13902,мы лож,"[(0, 5, 'B-TYPE')]"
14611,нф оч,"[(0, 2, 'B-BRAND'), (3, 5, 'B-TYPE')]"
6084,гречский,"[(0, 8, 'B-TYPE')]"
15739,пастериованная,"[(0, 14, 'B-TYPE')]"
14432,ниг ери,"[(0, 6, 'B-TYPE')]"
5186,врн,"[(0, 3, 'O')]"
22946,та рт,"[(0, 4, 'B-TYPE')]"
12507,масло de ol,"[(0, 5, 'B-TYPE'), (6, 8, 'O'), (9, 11, 'O')]"
1704,ostrov то,"[(0, 6, 'B-BRAND'), (7, 9, 'B-TYPE')]"
18676,розовый плод,"[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]"
25474,чага,"[(0, 3, 'B-TYPE')]"
6562,дифхузора,"[(0, 9, 'B-TYPE')]"
22197,сушка slako,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
22814,таб winston,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND')]"
11175,курккма,"[(0, 7, 'B-TYPE')]"
11732,лош,"[(0, 3, 'B-TYPE')]"
16582,пирожный с вишне,"[(0, 8, 'B-TYPE'), (9, 10, 'O'), (11, 16, 'O')]"
4152,бумажный поло тенцы,"[(0, 8, 'B-TYPE'), (9, 18, 'I-TYPE')]"
7724,имбирб,"[(0, 6, 'B-TYPE')]"
10356,кпылья,"[(0, 6, 'B-TYPE')]"
6325,гурми салат,"[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]"
1274,lamon,"[(0, 5, 'B-BRAND')]"
720,ene,"[(0, 3, 'O')]"
8188,кальмар,"[(0, 7, 'B-TYPE')]"
12309,маринованные помидор ка,"[(0, 12, 'B-TYPE'), (13, 22, 'B-BRAND')]"
27076,яйцо красный цена,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 17, 'I-BRAND')]"
5657,голень цыплёнок,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
21278,сосички,"[(0, 7, 'B-TYPE')]"
7458,злаковый,"[(0, 8, 'B-TYPE')]"
16038,перекрёсток охладить,"[(0, 11, 'B-BRAND'), (12, 23, 'B-TYPE')]"
17843,прочие колбаса,"[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]"
25192,хлопья ку,"[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]"
24713,фруктыы,"[(0, 7, 'B-TYPE')]"
5195,всулугуни,"[(0, 9, 'B-TYPE')]"
17169,помидоки,"[(0, 8, 'B-TYPE')]"
2273,vici охлажден но,"[(0, 4, 'B-BRAND'), (5, 15, 'B-TYPE')]"
3699,большем ясов сыро копчено,"[(0, 11, 'B-BRAND'), (12, 23, 'B-TYPE')]"
25488,чай lipto,"[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND')]"
24274,универсальеая,"[(0, 13, 'B-TYPE')]"
9089,клинский,"[(0, 8, 'B-BRAND')]"
1329,limona,"[(0, 6, 'B-TYPE')]"
22246,сывороточный,"[(0, 12, 'B-TYPE')]"
26943,яблочный,"[(0, 8, 'B-TYPE')]"
23602,тонизирующ,"[(0, 10, 'B-TYPE')]"
19015,с малиновый джем,"[(0, 1, 'O'), (2, 11, 'B-TYPE'), (12, 18, 'I-TYPE')]"
3448,беринг шпр,"[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE')]"
11507,лзанья,"[(0, 6, 'B-TYPE')]"
1571,mulino,"[(0, 6, 'B-BRAND')]"
25065,хлеб чемпион,"[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]"
7591,игровой комплекс,"[(0, 7, 'B-TYPE'), (8, 17, 'I-TYPE')]"
19767,сдадости,"[(0, 8, 'B-TYPE')]"
12255,манный крупа,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
3165,батон горчичный,"[(0, 5, 'B-TYPE'), (6, 15, 'I-TYPE')]"
22358,сыр маас дам,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]"
18306,рам эн,"[(0, 5, 'B-TYPE')]"
20526,смеатана,"[(0, 8, 'B-TYPE')]"
2074,soj,"[(0, 3, 'B-BRAND')]"
24606,форель pingvin,"[(0, 6, 'B-TYPE'), (7, 14, 'B-BRAND')]"
17089,полукопченн,"[(0, 11, 'B-TYPE')]"
23066,творог зерн,"[(0, 6, 'B-TYPE'), (7, 11, 'I-TYPE')]"
8161,календарь m,"[(0, 9, 'B-TYPE'), (10, 11, 'B-BRAND')]"
25782,чеснок молодой,"[(0, 6, 'B-TYPE'), (7, 14, 'I-TYPE')]"
4256,бюстгальтер va,"[(0, 12, 'B-TYPE'), (13, 15, 'B-BRAND')]"
6020,грече ск,"[(0, 7, 'B-TYPE')]"
6128,гриль uni,"[(0, 6, 'B-TYPE'), (7, 10, 'B-BRAND')]"
16714,плавка ve,"[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]"
3658,блюдо,"[(0, 5, 'B-TYPE')]"
257,bibo нож,"[(0, 4, 'B-BRAND'), (5, 9, 'B-TYPE')]"
2202,twik,"[(0, 4, 'B-BRAND')]"
8476,кар офель,"[(0, 8, 'B-TYPE')]"
17190,помидорки черри,"[(0, 9, 'B-TYPE'), (10, 15, 'I-TYPE')]"
17292,пончик,"[(0, 7, 'B-TYPE')]"
10016,корм для кошка желе,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O'), (15, 19, 'O')]"
16800,плньчик,"[(0, 7, 'B-TYPE')]"
18577,рис селяночк,"[(0, 3, 'B-TYPE'), (4, 12, 'B-BRAND')]"
16656,пиццетта замороженн,"[(0, 8, 'B-TYPE'), (9, 19, 'I-TYPE')]"
16844,пнльмени,"[(0, 8, 'B-TYPE')]"
11677,ложечка для обувь,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 17, 'O')]"
22655,сырок творо,"[(0, 5, 'B-TYPE'), (6, 11, 'I-TYPE')]"
4660,веро,"[(0, 4, 'B-TYPE')]"
26320,шоколад плиточн,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
5584,глазурь,"[(0, 7, 'B-TYPE')]"
25043,хлеб столичный,"[(0, 4, 'B-TYPE'), (5, 14, 'I-TYPE')]"
24317,утренниц,"[(0, 8, 'B-TYPE')]"
484,cnay,"[(0, 4, 'O')]"
24331,фагот ини,"[(0, 8, 'B-TYPE')]"
359,burlesco колготки,"[(0, 8, 'B-BRAND'), (9, 17, 'B-TYPE')]"
3733,борще,"[(0, 5, 'B-TYPE')]"
11724,лосьон nivea,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
8318,капуста тушёный,"[(0, 7, 'B-TYPE'), (8, 15, 'I-TYPE')]"
20716,см она,"[(0, 5, 'O')]"
10840,крупа пер лова,"[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]"
4810,вино игрист,"[(0, 4, 'B-TYPE'), (5, 11, 'I-TYPE')]"
10933,крышовник,"[(0, 9, 'B-TYPE')]"
20905,сок арбуз,"[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]"
7256,запечь тор,"[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]"
2527,айраны,"[(0, 6, 'B-TYPE')]"
23458,тмин с пудовъ,"[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND')]"
26292,шокодмд,"[(0, 7, 'B-TYPE')]"
5706,гольф pompe,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
22685,сыро копчена столична,"[(0, 11, 'B-TYPE'), (12, 20, 'B-BRAND')]"
25576,чайн,"[(0, 4, 'B-TYPE')]"
16424,печкис,"[(0, 6, 'B-TYPE')]"
2450,авсяная,"[(0, 7, 'B-TYPE')]"
6309,гуляшш,"[(0, 6, 'B-TYPE')]"
25525,чай крупно листовой чёрный,"[(0, 3, 'B-TYPE'), (4, 18, 'I-TYPE'), (19, 25, 'I-TYPE')]"
13010,миска tri,"[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]"
25904,чипсы в банк,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 13, 'O')]"
14092,набор конфетам,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
6918,ждя мытьё по,"[(0, 3, 'O'), (4, 9, 'O'), (10, 12, 'O')]"
24570,фламиш,"[(0, 6, 'B-BRAND')]"
4834,виноград тендер,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
3612,блнчики,"[(0, 7, 'B-TYPE')]"
7602,игрушка unic toy,"[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]"
836,fox,"[(0, 3, 'B-BRAND')]"
21475,специя для плов,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 16, 'O')]"
3566,блиник,"[(0, 6, 'B-TYPE')]"
18065,пшеничн,"[(0, 7, 'B-TYPE')]"
15756,пастилка,"[(0, 8, 'B-TYPE')]"
9818,конь,"[(0, 4, 'B-TYPE')]"
24271,умкк торт,"[(0, 4, 'B-BRAND'), (5, 11, 'B-TYPE')]"
7438,зефир пекарь,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND')]"
5504,гель ласка блек,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 15, 'I-BRAND')]"
15127,онешки,"[(0, 6, 'B-TYPE')]"
766,e х ponenta,"[(0, 9, 'B-BRAND')]"
8673,катбонат,"[(0, 8, 'B-TYPE')]"
803,fialco тарелк,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]"
9520,комбинезон,"[(0, 10, 'B-TYPE')]"
334,boyarin кукуруза,"[(0, 7, 'B-BRAND'), (8, 15, 'B-TYPE')]"
21021,со косо,"[(0, 6, 'B-TYPE')]"
2678,аогурцы,"[(0, 7, 'B-TYPE')]"
15557,пальме ни,"[(0, 8, 'B-TYPE')]"
9279,кол без сахар,"[(0, 4, 'B-TYPE'), (5, 8, 'O'), (9, 14, 'O')]"
23072,творог зернёный,"[(0, 6, 'B-TYPE'), (7, 15, 'I-TYPE')]"
21611,средство для стекло,"[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]"
3689,болонезк,"[(0, 8, 'B-TYPE')]"
1676,omequee,"[(0, 7, 'O')]"
2549,аква минерал,"[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]"
1061,horill,"[(0, 6, 'B-BRAND')]"
3369,белз на,"[(0, 6, 'B-TYPE')]"
6760,душистый пере,"[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]"
8452,кари адон,"[(0, 8, 'B-TYPE')]"
17198,помидорры,"[(0, 9, 'B-TYPE')]"
26014,чудо хлеб,"[(0, 8, 'B-BRAND')]"
41,aktimuno,"[(0, 8, 'B-BRAND')]"
21193,сосательный конфета,"[(0, 11, 'B-TYPE'), (12, 19, 'I-TYPE')]"
1966,sase,"[(0, 4, 'O')]"
9889,копчёный паприка,"[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]"
21145,солянка,"[(0, 7, 'B-TYPE')]"
3213,батончик сырный,"[(0, 8, 'B-TYPE'), (9, 15, 'I-TYPE')]"
22955,тарталеткр,"[(0, 10, 'B-TYPE')]"
4026,булочка для со сисек,"[(0, 7, 'B-TYPE'), (8, 11, 'O'), (12, 19, 'O')]"
18085,пшено в пакетиках,"[(0, 5, 'B-TYPE'), (6, 7, 'O'), (8, 17, 'O')]"
1698,orion,"[(0, 5, 'B-BRAND')]"
15647,папка канцелярск,"[(0, 5, 'B-TYPE'), (6, 16, 'I-TYPE')]"
13609,морс spelen,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]"
13999,мясной,"[(0, 6, 'B-TYPE')]"
3254,бедро курица,"[(0, 5, 'B-TYPE'), (6, 12, 'I-TYPE')]"
2923,баварушка,"[(0, 9, 'B-BRAND')]"
14503,норчица,"[(0, 7, 'B-TYPE')]"
7785,индейуа,"[(0, 7, 'B-TYPE')]"
4568,вафлы,"[(0, 5, 'B-TYPE')]"
9724,конфета,"[(0, 7, 'B-TYPE')]"
19074,саженец mosselma,"[(0, 7, 'B-TYPE'), (8, 16, 'B-BRAND')]"
741,evere,"[(0, 5, 'B-BRAND')]"
23755,тостер vigor,"[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]"
11770,лук синий,"[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]"
2053,smart очистить,"[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]"
4936,вл,"[(0, 2, 'O')]"
19869,сельдь в винн,"[(0, 6, 'B-TYPE'), (7, 8, 'O'), (9, 13, 'O')]"
7168,закрутка,"[(0, 8, 'B-TYPE')]"
19231,салфети бумажный в коробка,"[(0, 7, 'B-TYPE'), (8, 16, 'I-TYPE'), (17, 18, 'O'), (19, 26, 'O')]"
6111,гриб консервированн,"[(0, 5, 'B-TYPE'), (6, 20, 'I-TYPE')]"
22258,сыктывкар хлеб торт,"[(0, 13, 'B-BRAND'), (14, 18, 'B-TYPE')]"
2545,айч,"[(0, 3, 'B-TYPE')]"
8485,карп,"[(0, 5, 'B-TYPE')]"
14651,облепихи horte,"[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]"
101,arctik,"[(0, 6, 'B-BRAND')]"
21765,степлру,"[(0, 7, 'B-TYPE')]"
15684,парфэ дрожжи,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE')]"
133,artfruit груша,"[(0, 8, 'B-BRAND'), (9, 14, 'B-TYPE')]"
11756,лук красный,"[(0, 3, 'B-TYPE'), (4, 11, 'I-TYPE')]"
6978,железка,"[(0, 7, 'B-TYPE')]"
222,bck,"[(0, 3, 'O')]"
1827,pudin,"[(0, 5, 'B-TYPE')]"
7918,йог,"[(0, 4, 'B-TYPE')]"
2825,архызик,"[(0, 7, 'B-BRAND')]"
24090,тыква,"[(0, 5, 'B-TYPE')]"
3483,биойогурт,"[(0, 9, 'B-TYPE')]"
16579,пирожный leberg,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND')]"
1943,salton краск,"[(0, 6, 'B-BRAND'), (7, 12, 'B-TYPE')]"
13188,молоко для закваска,"[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 19, 'O')]"
25196,хлопья ов,"[(0, 6, 'B-TYPE'), (7, 9, 'I-TYPE')]"
16443,пив bohem,"[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]"
26016,чу па,"[(0, 4, 'B-BRAND')]"
4720,веч тина,"[(0, 7, 'B-TYPE')]"
21963,сумка disne,"[(0, 5, 'B-TYPE'), (6, 11, 'B-BRAND')]"
13154,моло 4 о,"[(0, 6, 'B-TYPE')]"
9502,кол паса,"[(0, 7, 'B-TYPE')]"
18962,рэдбул,"[(0, 6, 'B-BRAND')]"
7656,икник,"[(0, 5, 'B-TYPE')]"
26554,щоколадки,"[(0, 9, 'B-TYPE')]"
16498,пилав,"[(0, 5, 'B-TYPE')]"
20113,сидр erding,"[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND')]"
16110,перец лимонный,"[(0, 5, 'B-TYPE'), (6, 14, 'I-TYPE')]"
23532,томатный паста бай сад,"[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE'), (15, 21, 'B-BRAND')]"
15104,оломенски,"[(0, 9, 'O')]"
26629,экетчуп,"[(0, 7, 'B-TYPE')]"
8406,карандаш нф,"[(0, 9, 'B-TYPE'), (10, 12, 'B-BRAND')]"
11215,кусковой,"[(0, 8, 'B-TYPE')]"
2012,shnga,"[(0, 5, 'O')]"
26631,экзоти,"[(0, 6, 'B-TYPE')]"
5096,водичка с лимон,"[(0, 7, 'B-TYPE'), (8, 9, 'O'), (10, 17, 'O')]"
24279,унипром ст уде,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE')]"
6603,дневник органайзер,"[(0, 9, 'B-TYPE'), (10, 21, 'I-TYPE')]"
18961,рэд,"[(0, 3, 'B-BRAND')]"
24180,узваеры,"[(0, 7, 'B-TYPE')]"
